模型训练开始，起始时间：2024-07-13 06:23:43.091239
当前Batch：1730/6035 | 当前epoch:0/50 | 当前损失值：6.2822 | 当前准确率：18.50%
当前Batch：1740/6035 | 当前epoch:0/50 | 当前损失值：6.6559 | 当前准确率：12.10%
当前Batch：1750/6035 | 当前epoch:0/50 | 当前损失值：5.8855 | 当前准确率：21.90%
当前Batch：1760/6035 | 当前epoch:0/50 | 当前损失值：6.3652 | 当前准确率：18.07%
当前Batch：1770/6035 | 当前epoch:0/50 | 当前损失值：5.3762 | 当前准确率：29.09%
当前Batch：1780/6035 | 当前epoch:0/50 | 当前损失值：6.0693 | 当前准确率：20.83%
当前Batch：1790/6035 | 当前epoch:0/50 | 当前损失值：5.978 | 当前准确率：17.90%
当前Batch：1800/6035 | 当前epoch:0/50 | 当前损失值：5.9206 | 当前准确率：20.38%
当前Batch：1810/6035 | 当前epoch:0/50 | 当前损失值：6.0798 | 当前准确率：17.38%
当前Batch：1820/6035 | 当前epoch:0/50 | 当前损失值：5.9931 | 当前准确率：17.82%
当前Batch：1830/6035 | 当前epoch:0/50 | 当前损失值：6.0742 | 当前准确率：17.89%
当前Batch：1840/6035 | 当前epoch:0/50 | 当前损失值：6.4202 | 当前准确率：15.48%
当前Batch：1850/6035 | 当前epoch:0/50 | 当前损失值：6.0566 | 当前准确率：18.13%
当前Batch：1860/6035 | 当前epoch:0/50 | 当前损失值：5.6198 | 当前准确率：23.62%
当前Batch：1870/6035 | 当前epoch:0/50 | 当前损失值：5.7773 | 当前准确率：23.35%
当前Batch：1880/6035 | 当前epoch:0/50 | 当前损失值：6.3693 | 当前准确率：13.83%
当前Batch：1890/6035 | 当前epoch:0/50 | 当前损失值：5.6226 | 当前准确率：21.89%
当前Batch：1900/6035 | 当前epoch:0/50 | 当前损失值：6.258 | 当前准确率：17.23%
当前Batch：1910/6035 | 当前epoch:0/50 | 当前损失值：5.6353 | 当前准确率：23.77%
当前Batch：1920/6035 | 当前epoch:0/50 | 当前损失值：6.2626 | 当前准确率：14.22%
当前Batch：1930/6035 | 当前epoch:0/50 | 当前损失值：6.3712 | 当前准确率：15.53%
当前Batch：1940/6035 | 当前epoch:0/50 | 当前损失值：5.5884 | 当前准确率：24.07%
当前Batch：1950/6035 | 当前epoch:0/50 | 当前损失值：6.048 | 当前准确率：19.80%
当前Batch：1960/6035 | 当前epoch:0/50 | 当前损失值：5.6526 | 当前准确率：23.91%
当前Batch：1970/6035 | 当前epoch:0/50 | 当前损失值：6.2493 | 当前准确率：17.76%
当前Batch：1980/6035 | 当前epoch:0/50 | 当前损失值：5.5814 | 当前准确率：20.20%
当前Batch：1990/6035 | 当前epoch:0/50 | 当前损失值：5.9151 | 当前准确率：17.81%
当前Batch：2000/6035 | 当前epoch:0/50 | 当前损失值：5.5924 | 当前准确率：21.39%
当前Batch：2010/6035 | 当前epoch:0/50 | 当前损失值：5.2536 | 当前准确率：24.76%
当前Batch：2020/6035 | 当前epoch:0/50 | 当前损失值：6.1573 | 当前准确率：14.95%
当前Batch：2030/6035 | 当前epoch:0/50 | 当前损失值：5.7677 | 当前准确率：22.02%
当前Batch：2040/6035 | 当前epoch:0/50 | 当前损失值：5.4676 | 当前准确率：23.84%
当前Batch：2050/6035 | 当前epoch:0/50 | 当前损失值：5.6536 | 当前准确率：19.89%
当前Batch：2060/6035 | 当前epoch:0/50 | 当前损失值：5.6345 | 当前准确率：25.48%
当前Batch：2070/6035 | 当前epoch:0/50 | 当前损失值：5.6122 | 当前准确率：20.74%
当前Batch：2080/6035 | 当前epoch:0/50 | 当前损失值：5.9128 | 当前准确率：18.88%
当前Batch：2090/6035 | 当前epoch:0/50 | 当前损失值：6.0626 | 当前准确率：17.36%
当前Batch：2100/6035 | 当前epoch:0/50 | 当前损失值：5.4556 | 当前准确率：23.03%
当前Batch：2110/6035 | 当前epoch:0/50 | 当前损失值：5.704 | 当前准确率：20.84%
当前Batch：2120/6035 | 当前epoch:0/50 | 当前损失值：5.7213 | 当前准确率：21.23%
当前Batch：2130/6035 | 当前epoch:0/50 | 当前损失值：5.9076 | 当前准确率：18.29%
当前Batch：2140/6035 | 当前epoch:0/50 | 当前损失值：6.0067 | 当前准确率：19.06%
当前Batch：2150/6035 | 当前epoch:0/50 | 当前损失值：5.4232 | 当前准确率：25.43%
当前Batch：2160/6035 | 当前epoch:0/50 | 当前损失值：5.9973 | 当前准确率：17.91%
当前Batch：2170/6035 | 当前epoch:0/50 | 当前损失值：5.28 | 当前准确率：24.69%
当前Batch：2180/6035 | 当前epoch:0/50 | 当前损失值：5.4682 | 当前准确率：21.12%
当前Batch：2190/6035 | 当前epoch:0/50 | 当前损失值：5.502 | 当前准确率：23.15%
当前Batch：2200/6035 | 当前epoch:0/50 | 当前损失值：5.6082 | 当前准确率：19.48%
当前Batch：2210/6035 | 当前epoch:0/50 | 当前损失值：5.5649 | 当前准确率：19.76%
当前Batch：2220/6035 | 当前epoch:0/50 | 当前损失值：5.2023 | 当前准确率：29.05%
当前Batch：2230/6035 | 当前epoch:0/50 | 当前损失值：5.8159 | 当前准确率：17.05%
当前Batch：2240/6035 | 当前epoch:0/50 | 当前损失值：5.0024 | 当前准确率：29.13%
当前Batch：2250/6035 | 当前epoch:0/50 | 当前损失值：5.6553 | 当前准确率：20.43%
当前Batch：2260/6035 | 当前epoch:0/50 | 当前损失值：5.6826 | 当前准确率：20.22%
当前Batch：2270/6035 | 当前epoch:0/50 | 当前损失值：5.3937 | 当前准确率：20.85%
当前Batch：2280/6035 | 当前epoch:0/50 | 当前损失值：5.7519 | 当前准确率：18.29%
当前Batch：2290/6035 | 当前epoch:0/50 | 当前损失值：5.6414 | 当前准确率：19.63%
当前Batch：2300/6035 | 当前epoch:0/50 | 当前损失值：4.808 | 当前准确率：30.37%
当前Batch：2310/6035 | 当前epoch:0/50 | 当前损失值：5.717 | 当前准确率：17.92%
当前Batch：2320/6035 | 当前epoch:0/50 | 当前损失值：5.3684 | 当前准确率：21.45%
当前Batch：2330/6035 | 当前epoch:0/50 | 当前损失值：5.1838 | 当前准确率：25.00%
当前Batch：2340/6035 | 当前epoch:0/50 | 当前损失值：5.178 | 当前准确率：22.35%
当前Batch：2350/6035 | 当前epoch:0/50 | 当前损失值：5.8798 | 当前准确率：18.60%
当前Batch：2360/6035 | 当前epoch:0/50 | 当前损失值：5.5915 | 当前准确率：19.41%
当前Batch：2370/6035 | 当前epoch:0/50 | 当前损失值：5.7611 | 当前准确率：16.35%
当前Batch：2380/6035 | 当前epoch:0/50 | 当前损失值：5.0875 | 当前准确率：25.33%
当前Batch：2390/6035 | 当前epoch:0/50 | 当前损失值：5.2261 | 当前准确率：25.19%
当前Batch：2400/6035 | 当前epoch:0/50 | 当前损失值：5.229 | 当前准确率：22.30%
当前Batch：2410/6035 | 当前epoch:0/50 | 当前损失值：5.5796 | 当前准确率：19.70%
当前Batch：2420/6035 | 当前epoch:0/50 | 当前损失值：5.3324 | 当前准确率：28.28%
当前Batch：2430/6035 | 当前epoch:0/50 | 当前损失值：5.3153 | 当前准确率：22.88%
当前Batch：2440/6035 | 当前epoch:0/50 | 当前损失值：5.3964 | 当前准确率：21.29%
当前Batch：2450/6035 | 当前epoch:0/50 | 当前损失值：5.3742 | 当前准确率：20.34%
当前Batch：2460/6035 | 当前epoch:0/50 | 当前损失值：5.5375 | 当前准确率：23.08%
当前Batch：2470/6035 | 当前epoch:0/50 | 当前损失值：4.4749 | 当前准确率：34.89%
当前Batch：2480/6035 | 当前epoch:0/50 | 当前损失值：4.9807 | 当前准确率：27.29%
当前Batch：2490/6035 | 当前epoch:0/50 | 当前损失值：5.2093 | 当前准确率：22.91%
当前Batch：2500/6035 | 当前epoch:0/50 | 当前损失值：5.7762 | 当前准确率：16.49%
当前Batch：2510/6035 | 当前epoch:0/50 | 当前损失值：5.1142 | 当前准确率：29.70%
当前Batch：2520/6035 | 当前epoch:0/50 | 当前损失值：5.5304 | 当前准确率：18.12%
当前Batch：2530/6035 | 当前epoch:0/50 | 当前损失值：5.3549 | 当前准确率：21.36%
